Transaction Date,Account,Transaction Description,Counterparty,Amount $,Credit/Debit,Opposite Account Number,Country,FATF Country Risk Rating
2022-01-01,123457,ACH Out,Deere & Company,4591.27,Debit,,,
2022-01-01,123457,International Wire In,Johnson Controls,8284.27,Credit,,India,High
2022-01-01,123457,Cash In,,9323.99,Credit,,,
2022-01-01,123457,ACH In,Deere & Company,9514.07,Credit,,,
2022-01-01,123457,Cash In,,9167.72,Credit,,,
2022-01-01,123457,International Wire Out,Siemens,8817.19,Credit,,India,High
2022-01-01,123457,ACH Out,Eaton,1563.92,Debit,,,
2022-01-01,123457,International Wire Out,Johnson Controls,560.94,Credit,,USA,Medium
2022-01-01,123457,Internal Transfer In,,9143.18,Credit,,,
2022-01-01,123457,Domestic Wire In,Schneider Electric,5994.97,Credit,,,
2022-01-01,123457,Internal Transfer In,,8280.03,Credit,,,
2022-01-01,123457,Domestic Wire In,Deere & Company,3729.57,Credit,,,
2022-01-01,123457,Domestic Wire Out,Rockwell Automation,1256.5,Debit,,,
2022-01-01,123457,Cash In,,2657.23,Credit,,,
2022-01-01,123457,Domestic Wire In,Emerson Electric,269.17,Credit,,,
2022-01-01,123457,Domestic Wire In,Emerson Electric,4000.22,Credit,,,
2022-01-01,123456,Internal Transfer Out,,9539.51,Credit,123457,,
2022-01-01,123457,Cash In,,6583.71,Credit,,,
2022-01-01,123457,ACH In,Ingersoll Rand,3201.34,Credit,,,
2022-01-01,123457,Cash Out,,4180.29,Debit,,,
2022-01-01,123457,International Wire Out,Rockwell Automation,1957.65,Credit,,India,Medium
2022-01-01,123457,ACH In,ITT Inc.,5052.59,Credit,,,
2022-01-01,123457,Domestic Wire In,Eaton,9102.21,Credit,,,
2022-01-01,123457,Domestic Wire In,Rockwell Automation,7635.66,Credit,,,
2022-01-01,123457,International Wire In,Deere & Company,3186.28,Credit,,India,High
2022-01-01,123457,Cash Out,,1668.82,Debit,,,
2022-01-01,123457,Internal Transfer In,,4852.63,Credit,,,
2022-01-01,123457,International Wire Out,Rockwell Automation,9719.97,Credit,,China,High
2022-01-01,123457,ACH In,Dover Corporation,6094.9,Credit,,,
2022-01-01,123456,Internal Transfer Out,,518.52,Credit,123457,,
2022-01-01,123457,Domestic Wire In,ABB,8987.91,Credit,,,
2022-01-01,123457,Cash Out,,8477.3,Debit,,,
2022-01-01,123457,Domestic Wire In,Deere & Company,8693.91,Credit,,,
2022-01-01,123457,International Wire Out,Johnson Controls,8761.61,Credit,,USA,Medium
2022-01-01,123456,Internal Transfer Out,,2224.9,Credit,123457,,
2022-01-01,123456,Internal Transfer Out,,1734.75,Credit,123457,,
2022-01-01,123457,Domestic Wire Out,3M,3118.88,Debit,,,
2022-01-01,123457,Domestic Wire Out,Rockwell Automation,1964.64,Debit,,,
2022-01-01,123457,Cash In,,821.43,Credit,,,
2022-01-01,123457,ACH In,Ingersoll Rand,756.51,Credit,,,
2022-01-02,123457,Cash Out,,5019.23,Debit,,,
2022-01-02,123457,Domestic Wire In,Xylem,9274.02,Credit,,,
2022-01-02,123457,ACH Out,Siemens,249.74,Debit,,,
2022-01-02,123457,ACH In,Eaton,3839.66,Credit,,,
2022-01-02,123457,Domestic Wire In,Parker-Hannifin,4303.07,Credit,,,
2022-01-02,123457,Internal Transfer In,,8221.81,Credit,,,
2022-01-02,123457,ACH Out,Cummins,5953.42,Debit,,,
2022-01-02,123457,Domestic Wire In,Ingersoll Rand,4558.3,Credit,,,
2022-01-02,123457,ACH Out,Illinois Tool Works,2814.38,Debit,,,
2022-01-02,123457,Internal Transfer In,,8881.53,Credit,,,
2022-01-02,123457,Domestic Wire In,Rockwell Automation,8692.86,Credit,,,
2022-01-02,123457,International Wire In,Emerson Electric,5174.33,Credit,,China,High
2022-01-02,123457,Domestic Wire Out,Siemens,4880.65,Debit,,,
2022-01-02,123457,Domestic Wire In,Honeywell,3846.81,Credit,,,
2022-01-02,123457,ACH Out,Dover Corporation,9080.87,Debit,,,
2022-01-02,123457,International Wire In,Johnson Controls,2121.17,Credit,,India,High
2022-01-02,123457,Domestic Wire In,General Electric,1758.43,Credit,,,
2022-01-02,123457,International Wire In,ITT Inc.,3894.16,Credit,,India,Medium
2022-01-02,123457,Cash In,,804.01,Credit,,,
2022-01-02,123457,Domestic Wire In,Johnson Controls,8001.4,Credit,,,
2022-01-02,123457,Cash Out,,6092.74,Debit,,,
2022-01-02,123457,ACH Out,General Electric,8654.84,Debit,,,
2022-01-02,123457,International Wire In,Cummins,4578.67,Credit,,USA,Low
2022-01-02,123457,International Wire In,Eaton,9965.56,Credit,,USA,Low
2022-01-02,123457,Internal Transfer In,,8623.45,Credit,,,
2022-01-02,123457,ACH Out,Danaher,6530.51,Debit,,,
2022-01-02,123457,Internal Transfer In,,1017.91,Credit,,,
2022-01-02,123457,ACH In,Eaton,8093.25,Credit,,,
2022-01-02,123457,Domestic Wire In,Cummins,4470.38,Credit,,,
2022-01-02,123457,Internal Transfer In,,1832.66,Credit,,,
2022-01-02,123456,Internal Transfer Out,,9533.28,Credit,123457,,
2022-01-02,123457,International Wire Out,Johnson Controls,9749.8,Credit,,India,Medium
2022-01-02,123457,Internal Transfer In,,4368.25,Credit,,,
2022-01-02,123457,International Wire Out,Danaher,1275.08,Credit,,USA,High
2022-01-02,123457,Domestic Wire In,Danaher,6910.3,Credit,,,
2022-01-02,123457,Domestic Wire Out,Parker-Hannifin,5014.97,Debit,,,
2022-01-02,123456,Internal Transfer Out,,1157.33,Credit,123457,,
2022-01-02,123457,International Wire Out,Deere & Company,8229.97,Credit,,India,High
2022-01-02,123457,Cash In,,6524.19,Credit,,,
2022-01-02,123457,Domestic Wire In,Dover Corporation,8228.26,Credit,,,
2022-01-02,123457,International Wire In,Ingersoll Rand,4972.9,Credit,,China,Medium
2022-01-02,123457,ACH In,Johnson Controls,4497.98,Credit,,,
2022-01-02,123457,Cash Out,,1963.31,Debit,,,
2022-01-02,123457,ACH Out,Dover Corporation,8897.07,Debit,,,
2022-01-02,123457,Domestic Wire In,Siemens,8018.46,Credit,,,
2022-01-02,123457,ACH In,Illinois Tool Works,7457.78,Credit,,,
2022-01-02,123457,Domestic Wire Out,Cummins,9682.59,Debit,,,
2022-01-02,123457,Domestic Wire Out,ITT Inc.,2509.36,Debit,,,
2022-01-02,123457,Cash Out,,2471.42,Debit,,,
2022-01-02,123457,Domestic Wire In,Cummins,4244.9,Credit,,,
2022-01-02,123456,Internal Transfer Out,,8802.46,Credit,123457,,
2022-01-02,123457,Domestic Wire Out,Danaher,4839.66,Debit,,,
2022-01-02,123457,Domestic Wire Out,ITT Inc.,5447.06,Debit,,,
2022-01-02,123457,ACH In,3M,5724.02,Credit,,,
2022-01-02,123457,Domestic Wire In,Emerson Electric,792.24,Credit,,,
2022-01-02,123457,International Wire Out,General Electric,2277.77,Credit,,USA,Medium
2022-01-02,123457,Cash In,,5430.73,Credit,,,
2022-01-02,123457,Cash Out,,9969.06,Debit,,,
2022-01-02,123456,Internal Transfer Out,,7297.02,Credit,123457,,
2022-01-02,123457,Cash In,,834.27,Credit,,,
2022-01-02,123457,International Wire Out,Eaton,8015.38,Credit,,India,Medium
2022-01-02,123457,ACH In,ITT Inc.,8352.4,Credit,,,
2022-01-02,123457,ACH Out,Rockwell Automation,8933.41,Debit,,,
2022-01-02,123457,Internal Transfer In,,2107.1,Credit,,,
2022-01-02,123457,Cash In,,1998.2,Credit,,,
2022-01-02,123457,Domestic Wire Out,Ingersoll Rand,2156.4,Debit,,,
2022-01-02,123457,ACH In,Emerson Electric,7735.31,Credit,,,
2022-01-02,123457,ACH Out,Xylem,5646.59,Debit,,,
2022-01-02,123457,Cash In,,3450.21,Credit,,,
2022-01-02,123457,Cash In,,1705.87,Credit,,,
2022-01-02,123457,International Wire In,Deere & Company,2832.28,Credit,,USA,Low
2022-01-02,123457,Cash Out,,2303.22,Debit,,,
2022-01-02,123457,ACH Out,Caterpillar,4625.48,Debit,,,
2022-01-02,123457,International Wire In,Danaher,5105.09,Credit,,China,High
2022-01-02,123457,Domestic Wire In,Ingersoll Rand,3189.47,Credit,,,
2022-01-02,123457,Cash Out,,8356.12,Debit,,,
2022-01-03,123457,Domestic Wire In,Cummins,6680.98,Credit,,,
2022-01-03,123457,ACH In,General Electric,4707.21,Credit,,,
2022-01-03,123457,Domestic Wire Out,ITT Inc.,6205.88,Debit,,,
2022-01-03,123457,Domestic Wire In,Parker-Hannifin,4757.51,Credit,,,
2022-01-03,123457,International Wire Out,Schneider Electric,2663.42,Credit,,USA,High
2022-01-03,123457,ACH Out,ITT Inc.,5711.15,Debit,,,
2022-01-03,123456,Internal Transfer Out,,9464.8,Credit,123457,,
2022-01-03,123457,International Wire In,3M,6655.83,Credit,,USA,Medium
2022-01-03,123457,Cash In,,9156.6,Credit,,,
2022-01-03,123457,Cash Out,,4495.64,Debit,,,
2022-01-03,123457,ACH Out,General Electric,802.77,Debit,,,
2022-01-03,123457,International Wire Out,3M,5372.79,Credit,,India,Low
2022-01-03,123457,Cash In,,5819.55,Credit,,,
2022-01-03,123457,Internal Transfer In,,7478.76,Credit,,,
2022-01-03,123457,Domestic Wire Out,Cummins,6941.52,Debit,,,
2022-01-03,123456,Internal Transfer Out,,8283.38,Credit,123457,,
2022-01-03,123457,International Wire Out,Siemens,523.32,Credit,,China,High
2022-01-03,123457,International Wire In,Ingersoll Rand,2468.45,Credit,,India,High
2022-01-03,123457,International Wire Out,Siemens,3436.09,Credit,,USA,High
2022-01-03,123457,ACH In,3M,4605.01,Credit,,,
2022-01-03,123457,International Wire In,Dover Corporation,6051.75,Credit,,China,Low
2022-01-03,123457,International Wire Out,Deere & Company,3857.59,Credit,,USA,Low
2022-01-03,123457,Internal Transfer In,,6555.78,Credit,,,
2022-01-03,123457,ACH Out,Cummins,7106.86,Debit,,,
2022-01-03,123457,Domestic Wire In,Ingersoll Rand,3886.33,Credit,,,
2022-01-03,123457,International Wire Out,Schneider Electric,7442.72,Credit,,USA,High
2022-01-03,123456,Internal Transfer Out,,4227.8,Credit,123457,,
2022-01-03,123457,International Wire In,Xylem,2718.33,Credit,,USA,Medium
2022-01-03,123457,Cash Out,,5608.94,Debit,,,
2022-01-03,123457,Internal Transfer In,,1408.72,Credit,,,
2022-01-03,123457,ACH In,Rockwell Automation,1851.1,Credit,,,
2022-01-03,123457,Internal Transfer In,,6956.15,Credit,,,
2022-01-03,123457,Internal Transfer In,,9148.54,Credit,,,
2022-01-03,123457,International Wire Out,Honeywell,5676.75,Credit,,China,Low
2022-01-03,123457,Cash Out,,4449.06,Debit,,,
2022-01-03,123457,Cash In,,9940.57,Credit,,,
2022-01-03,123457,Cash In,,2182.7,Credit,,,
2022-01-03,123457,ACH In,Siemens,6725.49,Credit,,,
2022-01-03,123457,Cash Out,,8060.81,Debit,,,
2022-01-03,123457,Cash In,,1457.82,Credit,,,
2022-01-03,123457,ACH Out,Eaton,8983.87,Debit,,,
2022-01-03,123457,Cash Out,,2455.34,Debit,,,
2022-01-03,123457,Domestic Wire Out,Ingersoll Rand,8612.54,Debit,,,
2022-01-03,123457,Domestic Wire In,Schneider Electric,8508.65,Credit,,,
2022-01-03,123456,Internal Transfer Out,,2655.82,Credit,123457,,
2022-01-03,123457,Cash Out,,4946.99,Debit,,,
2022-01-03,123457,Cash In,,9801.85,Credit,,,
2022-01-03,123457,Domestic Wire Out,Rockwell Automation,380.76,Debit,,,
2022-01-03,123457,ACH In,Xylem,2742.64,Credit,,,
2022-01-03,123457,ACH In,Cummins,7034.17,Credit,,,
2022-01-03,123457,ACH Out,Illinois Tool Works,4789.7,Debit,,,
2022-01-03,123457,ACH In,Illinois Tool Works,6122.14,Credit,,,
2022-01-03,123457,International Wire In,ABB,8736.03,Credit,,USA,High
2022-01-03,123457,International Wire Out,Ingersoll Rand,2438.56,Credit,,China,High
2022-01-03,123457,International Wire In,Illinois Tool Works,9578.99,Credit,,India,Low
2022-01-03,123457,International Wire In,Siemens,7409.18,Credit,,USA,Medium
2022-01-03,123457,Cash In,,8907.88,Credit,,,
2022-01-03,123457,International Wire Out,Parker-Hannifin,4903.62,Credit,,USA,Medium
2022-01-03,123457,International Wire In,Illinois Tool Works,8426.84,Credit,,USA,Medium
2022-01-03,123457,Domestic Wire Out,Emerson Electric,8843.61,Debit,,,
2022-01-03,123457,Domestic Wire In,3M,9443.52,Credit,,,
2022-01-03,123457,Domestic Wire Out,Eaton,1215.17,Debit,,,
2022-01-03,123457,Domestic Wire In,ITT Inc.,1870.47,Credit,,,
2022-01-03,123457,ACH Out,Caterpillar,9793.6,Debit,,,
2022-01-03,123457,Cash Out,,1502.18,Debit,,,
2022-01-03,123457,Domestic Wire In,Cummins,9351.51,Credit,,,
2022-01-03,123457,International Wire Out,Illinois Tool Works,8497.56,Credit,,China,High
2022-01-03,123457,International Wire In,ABB,7931.07,Credit,,USA,High
2022-01-03,123457,Internal Transfer In,,9440.28,Credit,,,
2022-01-03,123457,Cash In,,9449.79,Credit,,,
2022-01-03,123457,Cash Out,,872.91,Debit,,,
2022-01-03,123457,ACH In,ITT Inc.,2852.75,Credit,,,
2022-01-03,123457,ACH Out,Schneider Electric,4335.91,Debit,,,
2022-01-03,123457,Cash In,,9365.8,Credit,,,
2022-01-03,123457,Cash In,,2019.09,Credit,,,
2022-01-03,123457,Internal Transfer In,,3020.85,Credit,,,
2022-01-03,123457,Internal Transfer In,,9847.73,Credit,,,
2022-01-04,123456,Internal Transfer Out,,9936.29,Credit,123457,,
2022-01-04,123457,ACH Out,ABB,3701.98,Debit,,,
2022-01-04,123456,Internal Transfer Out,,1455.11,Credit,123457,,
2022-01-04,123457,ACH In,Honeywell,8189.27,Credit,,,
2022-01-04,123457,Cash In,,221.19,Credit,,,
2022-01-04,123457,Domestic Wire Out,Illinois Tool Works,8145.72,Debit,,,
2022-01-04,123457,International Wire Out,3M,4820.11,Credit,,USA,Low
2022-01-04,123457,ACH In,Deere & Company,7457.42,Credit,,,
2022-01-04,123457,ACH Out,3M,7453.76,Debit,,,
2022-01-04,123457,International Wire Out,Ingersoll Rand,1033.26,Credit,,USA,High
2022-01-04,123457,International Wire Out,Siemens,6417.32,Credit,,India,High
2022-01-04,123457,Cash Out,,7490.8,Debit,,,
2022-01-04,123456,Internal Transfer Out,,4668.57,Credit,123457,,
2022-01-04,123457,Internal Transfer In,,8123.6,Credit,,,
2022-01-04,123457,Internal Transfer In,,4051.83,Credit,,,
2022-01-04,123456,Internal Transfer Out,,6021.01,Credit,123457,,
2022-01-04,123457,ACH In,Johnson Controls,1241.46,Credit,,,
2022-01-04,123457,International Wire In,Siemens,1398.42,Credit,,China,High
2022-01-04,123457,Domestic Wire In,Siemens,2830.08,Credit,,,
2022-01-04,123457,Cash Out,,6888.55,Debit,,,
2022-01-04,123457,Domestic Wire In,Dover Corporation,2169.59,Credit,,,
2022-01-04,123457,International Wire Out,Johnson Controls,6505.11,Credit,,China,Medium
2022-01-04,123457,Internal Transfer In,,775.24,Credit,,,
2022-01-04,123457,ACH In,Deere & Company,2183.04,Credit,,,
2022-01-04,123457,Cash In,,9716.04,Credit,,,
2022-01-04,123456,Internal Transfer Out,,8843.72,Credit,123457,,
2022-01-04,123457,Cash Out,,8551.53,Debit,,,
2022-01-04,123457,Cash In,,8372.67,Credit,,,
2022-01-04,123457,ACH Out,Danaher,1259.11,Debit,,,
2022-01-04,123457,ACH Out,General Electric,6895.81,Debit,,,
2022-01-04,123457,Domestic Wire In,Danaher,2240.81,Credit,,,
2022-01-04,123457,Cash Out,,7657.39,Debit,,,
2022-01-04,123456,Internal Transfer Out,,169.74,Credit,123457,,
2022-01-04,123457,Domestic Wire Out,Illinois Tool Works,8568.81,Debit,,,
2022-01-04,123457,Cash Out,,3121.94,Debit,,,
2022-01-04,123457,Domestic Wire In,Caterpillar,6304.78,Credit,,,
2022-01-04,123456,Internal Transfer Out,,4066.79,Credit,123457,,
2022-01-04,123457,Cash In,,7422.76,Credit,,,
2022-01-04,123457,Domestic Wire Out,Cummins,3897.01,Debit,,,
2022-01-04,123457,Cash In,,6750.82,Credit,,,
2022-01-04,123457,Internal Transfer In,,4905.83,Credit,,,
2022-01-04,123457,International Wire Out,Schneider Electric,3295.08,Credit,,India,High
2022-01-04,123457,Internal Transfer In,,8035.81,Credit,,,
2022-01-04,123457,Internal Transfer In,,6253.26,Credit,,,
2022-01-04,123457,Domestic Wire In,Caterpillar,1463.28,Credit,,,
2022-01-04,123457,Cash In,,7136.54,Credit,,,
2022-01-04,123457,Cash Out,,1643.34,Debit,,,
2022-01-04,123457,Domestic Wire Out,Johnson Controls,4211.9,Debit,,,
2022-01-04,123457,ACH In,Deere & Company,6146.89,Credit,,,
2022-01-04,123457,ACH In,Emerson Electric,7537.5,Credit,,,
2022-01-04,123457,Domestic Wire In,Parker-Hannifin,3967.94,Credit,,,
2022-01-04,123457,Domestic Wire Out,Danaher,6306.48,Debit,,,
2022-01-04,123456,Internal Transfer Out,,3754.01,Credit,123457,,
2022-01-04,123456,Internal Transfer Out,,320.82,Credit,123457,,
2022-01-04,123457,International Wire Out,Johnson Controls,3633.52,Credit,,USA,Low
2022-01-04,123457,Cash Out,,901.97,Debit,,,
2022-01-04,123457,Internal Transfer In,,6929.26,Credit,,,
2022-01-04,123457,ACH Out,Schneider Electric,2952.1,Debit,,,
2022-01-04,123457,International Wire In,Schneider Electric,308.57,Credit,,USA,Low
2022-01-04,123457,ACH In,ABB,5661.09,Credit,,,
2022-01-04,123457,Domestic Wire In,Rockwell Automation,4488.48,Credit,,,
2022-01-04,123457,International Wire Out,ABB,637.9,Credit,,USA,Low
2022-01-04,123457,Cash Out,,3727.96,Debit,,,
2022-01-04,123457,ACH Out,Xylem,2341.08,Debit,,,
2022-01-04,123457,Domestic Wire Out,Cummins,2279.84,Debit,,,
2022-01-04,123457,Domestic Wire Out,Caterpillar,3068.45,Debit,,,
2022-01-04,123456,Internal Transfer Out,,108.74,Credit,123457,,
2022-01-04,123456,Internal Transfer Out,,1776.91,Credit,123457,,
2022-01-04,123456,Internal Transfer Out,,1086.13,Credit,123457,,
2022-01-04,123457,Cash In,,6037.87,Credit,,,
2022-01-04,123457,Domestic Wire In,Xylem,284.57,Credit,,,
2022-01-04,123457,International Wire Out,Ingersoll Rand,3497.15,Credit,,China,High
2022-01-04,123457,Domestic Wire In,3M,7110.14,Credit,,,
2022-01-04,123457,Domestic Wire Out,Dover Corporation,9894.16,Debit,,,
2022-01-04,123457,Cash Out,,6393.3,Debit,,,
2022-01-04,123456,Internal Transfer Out,,2044.28,Credit,123457,,
2022-01-04,123457,Cash Out,,3588.78,Debit,,,
2022-01-04,123457,Domestic Wire Out,Honeywell,496.66,Debit,,,
2022-01-04,123457,Cash In,,6005.64,Credit,,,
2022-01-04,123457,Domestic Wire Out,Ingersoll Rand,5705.01,Debit,,,
2022-01-04,123457,Internal Transfer In,,2558.44,Credit,,,
2022-01-04,123457,ACH Out,General Electric,9655.8,Debit,,,
2022-01-04,123457,Cash Out,,2871.46,Debit,,,
2022-01-04,123457,Internal Transfer In,,1783.23,Credit,,,
2022-01-04,123457,Domestic Wire Out,ITT Inc.,9769.05,Debit,,,
2022-01-04,123457,International Wire Out,Eaton,6015.74,Credit,,China,Medium
2022-01-04,123457,Domestic Wire In,ITT Inc.,6482.2,Credit,,,
2022-01-04,123457,Cash In,,3326.66,Credit,,,
2022-01-04,123457,Domestic Wire Out,Deere & Company,7879.67,Debit,,,
2022-01-04,123456,Internal Transfer Out,,2803.87,Credit,123457,,
2022-01-04,123457,Internal Transfer In,,9263.36,Credit,,,
2022-01-04,123457,ACH Out,Siemens,2509.43,Debit,,,
2022-01-04,123457,Internal Transfer In,,4978.73,Credit,,,
2022-01-04,123457,Domestic Wire Out,ABB,4727.32,Debit,,,
2022-01-04,123456,Internal Transfer Out,,5575.2,Credit,123457,,
2022-01-04,123457,ACH In,Illinois Tool Works,1136.84,Credit,,,
2022-01-05,123457,ACH In,Johnson Controls,1765.34,Credit,,,
2022-01-05,123456,Internal Transfer Out,,7149.76,Credit,123457,,
2022-01-05,123457,Domestic Wire Out,ABB,6996.39,Debit,,,
2022-01-05,123457,International Wire In,Parker-Hannifin,9076.14,Credit,,USA,Medium
2022-01-05,123457,Domestic Wire In,Schneider Electric,2379.02,Credit,,,
2022-01-05,123457,International Wire In,3M,460.28,Credit,,China,Medium
2022-01-05,123457,Cash In,,2932.58,Credit,,,
2022-01-05,123457,Domestic Wire Out,ABB,6072.89,Debit,,,
2022-01-05,123456,Internal Transfer Out,,2733.46,Credit,123457,,
2022-01-05,123457,International Wire Out,Deere & Company,6495.11,Credit,,USA,Low
2022-01-05,123456,Internal Transfer Out,,1120.15,Credit,123457,,
2022-01-05,123457,ACH Out,Deere & Company,697.15,Debit,,,
2022-01-05,123457,Domestic Wire Out,ABB,2474.83,Debit,,,
2022-01-05,123456,Internal Transfer Out,,4841.31,Credit,123457,,
2022-01-05,123457,Cash Out,,502.79,Debit,,,
2022-01-05,123457,Cash Out,,7613.21,Debit,,,
2022-01-05,123456,Internal Transfer Out,,2382.07,Credit,123457,,
2022-01-05,123457,International Wire In,Honeywell,4230.23,Credit,,China,High
2022-01-05,123457,ACH In,Ingersoll Rand,5579.05,Credit,,,
2022-01-05,123456,Internal Transfer Out,,3578.18,Credit,123457,,
2022-01-05,123457,Domestic Wire Out,Eaton,3807.64,Debit,,,
2022-01-05,123457,Domestic Wire In,Dover Corporation,6161.76,Credit,,,
2022-01-05,123457,ACH In,Dover Corporation,6283.98,Credit,,,
2022-01-05,123457,Cash Out,,4437.94,Debit,,,
2022-01-05,123457,Internal Transfer In,,396.86,Credit,,,
2022-01-05,123457,Cash Out,,7009.73,Debit,,,
2022-01-05,123457,ACH Out,3M,2336.86,Debit,,,
2022-01-05,123457,Cash Out,,3535.96,Debit,,,
2022-01-05,123457,Internal Transfer In,,9542.04,Credit,,,
2022-01-05,123457,Domestic Wire In,Parker-Hannifin,1249.62,Credit,,,
2022-01-05,123457,Cash In,,7122.46,Credit,,,
2022-01-05,123457,International Wire In,Honeywell,915.95,Credit,,USA,Medium
2022-01-05,123457,Cash In,,570.39,Credit,,,
2022-01-05,123457,International Wire Out,Parker-Hannifin,5019.1,Credit,,USA,High
2022-01-05,123457,International Wire Out,3M,8424.14,Credit,,India,Medium
2022-01-05,123457,Internal Transfer In,,6166.06,Credit,,,
2022-01-05,123457,Cash Out,,6864.4,Debit,,,
2022-01-05,123457,Domestic Wire Out,Siemens,398.98,Debit,,,
2022-01-05,123457,International Wire Out,Eaton,2322.15,Credit,,India,Medium
2022-01-05,123457,ACH In,3M,3223.23,Credit,,,
2022-01-05,123457,Internal Transfer In,,3451.05,Credit,,,
2022-01-05,123457,Internal Transfer In,,3827.7,Credit,,,
2022-01-05,123457,Cash In,,2019.14,Credit,,,
2022-01-05,123457,Domestic Wire Out,Caterpillar,6386.58,Debit,,,
2022-01-05,123457,ACH In,Ingersoll Rand,3839.37,Credit,,,
2022-01-05,123457,ACH In,3M,4334.14,Credit,,,
2022-01-05,123457,Domestic Wire In,Caterpillar,5249.85,Credit,,,
2022-01-05,123457,ACH Out,Eaton,5135.0,Debit,,,
2022-01-05,123457,Cash In,,4203.48,Credit,,,
2022-01-05,123457,Cash In,,1160.81,Credit,,,
2022-01-05,123457,International Wire In,Xylem,1021.61,Credit,,China,High
2022-01-05,123457,Domestic Wire Out,ITT Inc.,7857.96,Debit,,,
2022-01-05,123457,International Wire Out,Schneider Electric,4570.35,Credit,,China,Medium
2022-01-05,123457,Domestic Wire In,Illinois Tool Works,4461.28,Credit,,,
2022-01-05,123457,Internal Transfer In,,7816.24,Credit,,,
2022-01-05,123457,Domestic Wire Out,3M,2173.53,Debit,,,
2022-01-05,123457,Cash In,,1296.55,Credit,,,
2022-01-05,123457,Internal Transfer In,,9971.06,Credit,,,
2022-01-05,123457,Cash Out,,8752.61,Debit,,,
2022-01-05,123457,Cash Out,,9866.56,Debit,,,
2022-01-05,123457,Domestic Wire In,Ingersoll Rand,6644.45,Credit,,,
2022-01-05,123457,Domestic Wire In,3M,5186.26,Credit,,,
2022-01-05,123457,ACH Out,General Electric,427.34,Debit,,,
2022-01-05,123457,ACH Out,3M,9958.58,Debit,,,
2022-01-05,123457,Cash In,,1663.48,Credit,,,
